player_id,season,type
3,1871,All-Rookie Team
10,1871,All-Rookie Team
12,1871,All-Rookie Team
22,1871,All-Rookie Team
27,1871,All-Rookie Team
0,1871,All-Star
1,1871,All-Star
2,1871,All-Star
5,1871,All-Star
20,1871,All-Star
28,1871,All-Star
66,1871,All-Star
141,1871,All-Star
142,1871,All-Star
143,1871,All-Star
144,1871,All-Star
145,1871,All-Star
146,1871,All-Star
149,1871,All-Star
150,1871,All-Star
151,1871,All-Star
158,1871,All-Star
166,1871,All-Star
174,1871,All-Star
182,1871,All-Star
195,1871,All-Star
204,1871,All-Star
220,1871,All-Star
308,1871,All-Star
142,1871,All-Star MVP
2,1871,Defensive Player of the Year
28,1871,Finals MVP
2,1871,First Team All-Defensive
14,1871,First Team All-Defensive
28,1871,First Team All-Defensive
141,1871,First Team All-Defensive
144,1871,First Team All-Defensive
0,1871,First Team All-League
28,1871,First Team All-League
141,1871,First Team All-League
142,1871,First Team All-League
150,1871,First Team All-League
146,1871,League Assists Leader
144,1871,League Blocks Leader
2,1871,League Rebounding Leader
142,1871,League Scoring Leader
141,1871,League Steals Leader
142,1871,Most Valuable Player
3,1871,Rookie of the Year
0,1871,Second Team All-Defensive
6,1871,Second Team All-Defensive
142,1871,Second Team All-Defensive
159,1871,Second Team All-Defensive
200,1871,Second Team All-Defensive
1,1871,Second Team All-League
2,1871,Second Team All-League
145,1871,Second Team All-League
146,1871,Second Team All-League
204,1871,Second Team All-League
0,1871,Semifinals MVP
204,1871,Semifinals MVP
308,1871,Sixth Man of the Year
178,1871,Slam Dunk Contest Winner
5,1871,Third Team All-Defensive
9,1871,Third Team All-Defensive
143,1871,Third Team All-Defensive
147,1871,Third Team All-Defensive
155,1871,Third Team All-Defensive
6,1871,Third Team All-League
149,1871,Third Team All-League
158,1871,Third Team All-League
167,1871,Third Team All-League
174,1871,Third Team All-League
219,1871,Three-Point Contest Winner
0,1871,Won Championship
6,1871,Won Championship
15,1871,Won Championship
28,1871,Won Championship
131,1871,Won Championship
159,1871,Won Championship
200,1871,Won Championship
206,1871,Won Championship
277,1871,Won Championship
305,1871,Won Championship
361,1871,Won Championship
393,1871,Won Championship
400,1871,Won Championship
540,1872,All-Rookie Team
574,1872,All-Rookie Team
579,1872,All-Rookie Team
585,1872,All-Rookie Team
593,1872,All-Rookie Team
1,1872,All-Star
2,1872,All-Star
4,1872,All-Star
7,1872,All-Star
11,1872,All-Star
20,1872,All-Star
27,1872,All-Star
141,1872,All-Star
142,1872,All-Star
144,1872,All-Star
145,1872,All-Star
147,1872,All-Star
148,1872,All-Star
150,1872,All-Star
151,1872,All-Star
152,1872,All-Star
154,1872,All-Star
158,1872,All-Star
161,1872,All-Star
166,1872,All-Star
174,1872,All-Star
177,1872,All-Star
180,1872,All-Star
183,1872,All-Star
195,1872,All-Star
204,1872,All-Star
205,1872,All-Star
148,1872,All-Star MVP
144,1872,Defensive Player of the Year
142,1872,Finals MVP
2,1872,First Team All-Defensive
27,1872,First Team All-Defensive
141,1872,First Team All-Defensive
144,1872,First Team All-Defensive
147,1872,First Team All-Defensive
11,1872,First Team All-League
141,1872,First Team All-League
144,1872,First Team All-League
147,1872,First Team All-League
174,1872,First Team All-League
167,1872,League Assists Leader
27,1872,League Blocks Leader
2,1872,League Rebounding Leader
150,1872,League Scoring Leader
149,1872,League Steals Leader
176,1872,Most Improved Player
147,1872,Most Valuable Player
540,1872,Rookie of the Year
11,1872,Second Team All-Defensive
152,1872,Second Team All-Defensive
161,1872,Second Team All-Defensive
198,1872,Second Team All-Defensive
207,1872,Second Team All-Defensive
1,1872,Second Team All-League
2,1872,Second Team All-League
142,1872,Second Team All-League
145,1872,Second Team All-League
152,1872,Second Team All-League
1,1872,Semifinals MVP
142,1872,Semifinals MVP
15,1872,Sixth Man of the Year
179,1872,Slam Dunk Contest Winner
9,1872,Third Team All-Defensive
14,1872,Third Team All-Defensive
28,1872,Third Team All-Defensive
34,1872,Third Team All-Defensive
200,1872,Third Team All-Defensive
0,1872,Third Team All-League
150,1872,Third Team All-League
166,1872,Third Team All-League
183,1872,Third Team All-League
195,1872,Third Team All-League
180,1872,Three-Point Contest Winner
11,1872,Won Championship
110,1872,Won Championship
116,1872,Won Championship
142,1872,Won Championship
143,1872,Won Championship
217,1872,Won Championship
241,1872,Won Championship
282,1872,Won Championship
291,1872,Won Championship
299,1872,Won Championship
340,1872,Won Championship
371,1872,Won Championship
578,1872,Won Championship
584,1872,Won Championship
610,1873,All-Rookie Team
612,1873,All-Rookie Team
631,1873,All-Rookie Team
639,1873,All-Rookie Team
651,1873,All-Rookie Team
0,1873,All-Star
1,1873,All-Star
2,1873,All-Star
4,1873,All-Star
9,1873,All-Star
11,1873,All-Star
22,1873,All-Star
24,1873,All-Star
27,1873,All-Star
46,1873,All-Star
141,1873,All-Star
142,1873,All-Star
144,1873,All-Star
145,1873,All-Star
146,1873,All-Star
147,1873,All-Star
148,1873,All-Star
150,1873,All-Star
152,1873,All-Star
174,1873,All-Star
177,1873,All-Star
179,1873,All-Star
195,1873,All-Star
198,1873,All-Star
142,1873,All-Star MVP
198,1873,Defensive Player of the Year
147,1873,Finals MVP
9,1873,First Team All-Defensive
144,1873,First Team All-Defensive
147,1873,First Team All-Defensive
198,1873,First Team All-Defensive
200,1873,First Team All-Defensive
1,1873,First Team All-League
4,1873,First Team All-League
142,1873,First Team All-League
150,1873,First Team All-League
174,1873,First Team All-League
32,1873,League Assists Leader
2,1873,League Blocks Leader
2,1873,League Rebounding Leader
150,1873,League Scoring Leader
0,1873,League Steals Leader
336,1873,Most Improved Player
1,1873,Most Valuable Player
639,1873,Rookie of the Year
0,1873,Second Team All-Defensive
16,1873,Second Team All-Defensive
27,1873,Second Team All-Defensive
141,1873,Second Team All-Defensive
159,1873,Second Team All-Defensive
0,1873,Second Team All-League
9,1873,Second Team All-League
11,1873,Second Team All-League
147,1873,Second Team All-League
148,1873,Second Team All-League
0,1873,Semifinals MVP
147,1873,Semifinals MVP
66,1873,Sixth Man of the Year
178,1873,Slam Dunk Contest Winner
1,1873,Third Team All-Defensive
4,1873,Third Team All-Defensive
42,1873,Third Team All-Defensive
142,1873,Third Team All-Defensive
163,1873,Third Team All-Defensive
22,1873,Third Team All-League
141,1873,Third Team All-League
144,1873,Third Team All-League
195,1873,Third Team All-League
198,1873,Third Team All-League
174,1873,Three-Point Contest Winner
5,1873,Won Championship
22,1873,Won Championship
125,1873,Won Championship
147,1873,Won Championship
179,1873,Won Championship
237,1873,Won Championship
276,1873,Won Championship
283,1873,Won Championship
331,1873,Won Championship
591,1873,Won Championship
592,1873,Won Championship
593,1873,Won Championship
658,1873,Won Championship
705,1874,All-Rookie Team
706,1874,All-Rookie Team
720,1874,All-Rookie Team
736,1874,All-Rookie Team
746,1874,All-Rookie Team
0,1874,All-Star
1,1874,All-Star
2,1874,All-Star
4,1874,All-Star
9,1874,All-Star
11,1874,All-Star
20,1874,All-Star
24,1874,All-Star
31,1874,All-Star
32,1874,All-Star
40,1874,All-Star
42,1874,All-Star
46,1874,All-Star
90,1874,All-Star
141,1874,All-Star
142,1874,All-Star
144,1874,All-Star
147,1874,All-Star
148,1874,All-Star
149,1874,All-Star
154,1874,All-Star
174,1874,All-Star
198,1874,All-Star
204,1874,All-Star
579,1874,All-Star
0,1874,All-Star MVP
147,1874,Defensive Player of the Year
147,1874,Finals MVP
0,1874,First Team All-Defensive
