player_id,firstName,lastName,college,hgt,retiredYear,numDaysFreeAgent,ptModifier,gamesUntilTradable,imgURL,born_year,born_loc,contract_amount,contract_exp,draft_round,draft_pick,draft_tid,draft_year,draft_originalTid,draft_pot,draft_ovr,draft_skills,injury_type,injury_gamesRemaining,moodTraits,relatives_count,draft_dpid
420,Yvonne,Brown,Kentucky,72,1871,90,1,0,,1844,"Massachusetts, USA",1200,1871,0,0,-1,1866,-1,44,29,[],Healthy,0,W,0,
451,Lindsay,Franks,Memphis,73,1871,90,1,0,,1844,"Utah, USA",1200,1871,0,0,-1,1865,-1,48,30,[],Healthy,0,"F,L",0,
453,Ashley,Bell,Gonzaga,73,1871,90,1,0,,1841,"New York, USA",1200,1871,0,0,-1,1860,-1,44,21,[],Healthy,0,F,0,
518,Petra,Meier,,78,1871,90,1,0,,1841,Germany,1200,1871,0,0,-1,1863,-1,47,31,[],Healthy,0,"$,L",0,
463,Tausha,Johnson,St. John's,74,1872,120,1,0,,1846,"Maryland, USA",1200,1872,0,0,-1,1865,-1,37,16,[],Healthy,0,"$,L",0,
477,Dominique,Hernandez,,72,1872,120,1,0,,1844,France,1200,1872,0,0,-1,1863,-1,47,22,[],Healthy,0,$,0,
489,Sam,Francis,LIU,72,1872,120,1,0,,1846,"Utah, USA",1200,1872,0,0,-1,1865,-1,48,24,[],Healthy,0,W,1,
490,Brandi,Pino,Kentucky,76,1872,120,1,0,,1846,"Arizona, USA",1200,1872,0,0,-1,1867,-1,49,30,[],Healthy,0,L,0,
493,Aminata,Fall,,70,1872,120,1,0,,1845,Senegal,1200,1872,0,0,-1,1865,-1,40,20,[],Healthy,0,"L,W",0,
527,Emily,Taggart Sr.,Akron,74,1872,120,1,0,,1845,"Virginia, USA",1200,1872,0,0,-1,1867,-1,34,23,[],Healthy,0,L,1,
326,Ursula,Wagner,,75,1873,120,1,0,,1843,Germany,1200,1873,0,0,-1,1863,-1,47,25,[],Healthy,0,$,0,
406,Sami,Brown,Jackson State,75,1873,120,1,0,,1845,"Pennsylvania, USA",1200,1873,0,0,-1,1865,-1,41,22,[],Healthy,0,"F,W",0,
525,Nikki,Espinoza,Maryland,76,1873,120,1,0,,1847,"Oregon, USA",1200,1873,0,0,-1,1866,-1,46,22,[],Healthy,0,"F,L",0,
284,Alisia,Murphy,Gonzaga,73,1874,119,1,0,,1846,"Texas, USA",1200,1874,0,0,-1,1868,-1,40,29,[],Healthy,0,"L,W",0,
392,Ruthie,Mitchell,Gonzaga,75,1874,119,1,0,,1848,"Nevada, USA",1200,1874,0,0,-1,1869,-1,43,29,[],Healthy,0,"F,W",0,
430,Adriana,Lacerda,,69,1874,119,1,0,,1848,Brazil,1200,1874,0,0,-1,1867,-1,38,18,[],Healthy,0,W,0,
526,Mira,Kastropil,,73,1874,119,1,0,,1848,Croatia,1200,1874,0,0,-1,1868,-1,48,25,[],Healthy,0,"F,L",0,
272,Candace,Kincade,New Mexico,74,1875,120,1,0,,1845,"Vermont, USA",1200,1875,0,0,-1,1867,-1,37,30,[],Healthy,0,"$,W",0,
302,Candice,Andrews,Ohio State,75,1875,120,1,0,,1840,"Virginia, USA",1200,1875,0,0,-1,1860,-1,45,26,[],Healthy,0,"F,L",0,
458,Erin,Gonner,Georgia,70,1875,120,1,0,,1849,"Kentucky, USA",1200,1875,0,0,-1,1868,-1,41,18,[],Healthy,0,W,0,
482,Shameka,Simmons,California,69,1875,120,1,0,,1849,"Tennessee, USA",1200,1875,0,0,-1,1870,-1,44,25,[],Healthy,0,"F,W",0,
603,Latasha,Fleetwood,Nebraska,74,1875,120,1,0,,1849,"Texas, USA",1200,1875,0,0,-1,1871,-1,42,26,[],Healthy,0,W,0,
605,Angela,Glenn,Tennessee,71,1875,120,1,0,,1849,"Wisconsin, USA",1200,1875,0,0,-1,1871,-1,31,20,[],Healthy,0,F,0,
607,Jocelyn,Hartline,LSU,70,1875,120,1,0,,1849,"Tennessee, USA",1200,1875,0,0,-1,1871,-1,38,27,[],Healthy,0,"$,L",0,
608,Leticia,Guerra,,68,1875,120,1,0,,1849,Spain,1200,1875,0,0,-1,1871,-1,30,22,[],Healthy,0,"L,W",0,
201,Laure,Duclos,,69,1876,120,1,0,,1844,France,1200,1876,0,0,-1,1866,-1,42,29,[],Healthy,0,F,0,
355,Jamie,Hammond,Louisville,76,1876,120,1,0,,1845,"Alabama, USA",1200,1876,0,0,-1,1866,-1,48,28,[],Healthy,0,"$,W",0,
599,Emily,Sherrer,Maryland,73,1876,120,1,0,,1850,"Michigan, USA",1200,1876,0,0,-1,1871,-1,29,18,[],Healthy,0,F,0,
673,Eva,Biel,,69,1876,120,1,14,,1850,Spain,1200,1876,0,0,-1,1872,-1,39,31,[],Healthy,0,L,0,
674,Vanessa,Harrison,VCU,66,1876,120,1,0,,1850,"California, USA",1200,1876,0,0,-1,1872,-1,44,31,[],Healthy,0,$,0,
675,Elaine,Volcy,Louisville,72,1876,120,1,0,,1850,"Ohio, USA",1200,1876,0,0,-1,1872,-1,43,30,[],Healthy,0,"$,F",0,
677,Leslie,Harding,Syracuse,72,1876,120,1,0,,1850,"Texas, USA",1200,1876,0,0,-1,1872,-1,39,22,[],Healthy,0,"L,W",0,
678,Alexis,Jones,Detroit Mercy,63,1876,120,1,0,,1850,"Tennessee, USA",1200,1876,0,0,-1,1872,-1,27,18,[],Healthy,0,F,0,
679,Anna,Simtsak,,75,1876,120,1,0,,1850,Greece,1200,1876,0,0,-1,1872,-1,45,30,[],Healthy,0,L,0,
228,Joy,Miles,Tennessee State,71,1877,120,1,14,,1847,"Delaware, USA",1200,1877,0,0,-1,1866,-1,36,20,[],Healthy,0,"$,F",0,
333,Inge,Schulte,,73,1877,120,1,0,,1848,Germany,1200,1877,0,0,-1,1869,-1,45,28,[],Healthy,0,"$,F",0,
589,Georgia,Boyd,Syracuse,69,1877,120,1,0,,1851,"North Dakota, USA",1200,1877,0,0,-1,1871,-1,40,23,[],Healthy,0,$,0,
744,Aynur,Peker,,75,1877,120,1,0,,1851,Turkey,1200,1877,0,0,-1,1873,-1,33,21,[],Healthy,0,F,0,
745,Morgan,Choate,Iowa,75,1877,120,1,0,,1851,"California, USA",1200,1877,0,0,-1,1873,-1,30,20,[],Healthy,0,"$,W",0,
748,Khayla,Edwards,Connecticut,76,1877,120,1,0,,1851,"Texas, USA",1200,1877,0,0,-1,1873,-1,33,23,[],Healthy,0,"$,F",0,
561,Alessandra,Vercesi,,68,1878,119,1,0,,1852,Italy,1200,1878,0,0,-1,1871,-1,42,21,[],Healthy,0,F,0,
649,Aldona,Bareika,,69,1878,119,1,0,,1852,Lithuania,1200,1878,0,0,-1,1872,-1,41,20,[],Healthy,0,$,0,
661,Crystal,Chambers,Wyoming,72,1878,119,1,0,,1852,"Iowa, USA",1200,1878,0,0,-1,1872,-1,34,17,[],Healthy,0,$,0,
739,Katie,Monteiro,TCU,74,1878,119,1,0,,1852,"Florida, USA",1200,1878,0,0,-1,1873,-1,26,13,[],Healthy,0,"L,W",0,
814,Kalani,Moss,Notre Dame,66,1878,119,1,0,,1852,"Florida, USA",1200,1878,0,0,-1,1874,-1,40,28,[],Healthy,0,L,0,
818,Nayo,Dugas,Oregon State,70,1878,119,1,0,,1852,"Ontario, Canada",1200,1878,0,0,-1,1874,-1,42,29,[],Healthy,0,$,0,
819,Marina,Johnson,Auburn,72,1878,119,1,0,,1852,"Indiana, USA",1200,1878,0,0,-1,1874,-1,41,29,[],Healthy,0,"L,W",0,
230,Mercedes,Brown,North Carolina,72,1879,91,1,0,,1844,"Louisiana, USA",1200,1879,0,0,-1,1864,-1,39,20,[],Healthy,0,L,0,
633,Jacqueline,Blin,,66,1879,121,1,0,,1853,France,1200,1879,0,0,-1,1872,-1,47,25,[],Healthy,0,$,1,
725,Bridget,Hall,Houston,74,1879,121,1,0,,1853,"Ontario, Canada",1200,1879,0,0,-1,1873,-1,35,19,[],Healthy,0,W,1,
884,Marcie,Coleman,Maryland,74,1879,121,1,0,,1853,"Minnesota, USA",1200,1879,0,0,-1,1875,-1,38,25,[],Healthy,0,"F,W",1,
887,Bernice,Williams,Louisville,70,1879,121,1,0,,1853,"Florida, USA",1200,1879,0,0,-1,1875,-1,37,24,[],Healthy,0,W,0,
888,Maryam,Obi,,66,1879,121,1,0,,1853,Nigeria,1200,1879,0,0,-1,1875,-1,21,14,[],Healthy,0,"$,L",0,
285,Danielle,Muhammad,Michigan,76,1880,120,1,0,,1850,"New York, USA",1200,1880,0,0,-1,1869,-1,47,20,[],Healthy,0,$,0,
550,Sonja,Scott,Utah State,71,1880,120,1,0,,1852,"California, USA",1200,1880,0,0,-1,1871,-1,43,21,[],Healthy,0,F,0,
604,Lady,Boyden,Arkansas,67,1880,120,1,0,,1849,"Michigan, USA",1200,1880,0,0,-1,1871,-1,39,26,[],Healthy,0,"F,L",1,
691,Cemile,Yurttas,,77,1880,120,1,0,,1854,Turkey,1200,1880,0,0,-1,1873,-1,45,23,[],Healthy,0,"$,F",0,
714,Niele,Parham,Florida State,75,1880,120,1,6,,1854,"Pennsylvania, USA",1200,1880,0,0,-1,1873,-1,44,21,[],Healthy,0,L,0,
796,Tera,Johnson,Miami (FL),70,1880,120,1,0,,1854,"Texas, USA",1200,1880,0,0,-1,1874,-1,33,19,[],Healthy,0,$,0,
802,Tiffany,Levere,Prairie View A&M,75,1880,120,1,0,,1854,"California, USA",1200,1880,0,0,-1,1874,-1,41,23,[],Healthy,0,"F,W",0,
955,LaToya,Ray,Mount St. Mary's,69,1880,120,1,0,,1854,"Michigan, USA",1200,1880,0,0,-1,1876,-1,34,25,[],Healthy,0,"F,L",0,
959,Alexis,Pena,California,70,1880,120,1,0,,1854,"Tennessee, USA",1200,1880,0,0,-1,1876,-1,37,23,[],Healthy,0,L,0,
726,Ashley,Davis,Florida,77,1881,120,1,0,,1853,"Indiana, USA",1200,1881,0,0,-1,1873,-1,46,22,[],Healthy,0,"L,W",0,
768,Penny,Wilson,UCLA,70,1881,120,1,0,,1855,"Texas, USA",1200,1881,0,0,-1,1874,-1,41,18,[],Healthy,0,L,0,
816,Haley,Adams,Pacific,75,1881,120,1,0,,1852,"Florida, USA",1200,1881,0,0,-1,1874,-1,40,34,[],Healthy,0,W,0,
